primary_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,>15
South Africa,0,34,28,17,20,12,11,10,14,3,4,2,5,3,1,2,27
South Korea,65,119,76,40,16,17,9,4,7,10,0,8,5,4,0,2,22
Spain,52,178,156,130,90,57,42,32,37,36,19,15,13,13,6,11,61
Sri Lanka,0,0,0,1,1,0,0,0,0,1,2,0,0,0,1,0,9
Sweden,36,124,134,98,64,46,35,29,26,29,13,12,10,12,7,6,55
Switzerland,225,371,280,180,103,78,47,53,27,33,20,7,9,12,8,10,55
Taiwan,6,25,35,24,22,9,2,2,5,4,7,3,6,4,2,0,19
Tanzania,1,2,3,4,3,3,1,5,0,0,1,0,0,0,1,0,8
Thailand,0,4,6,1,3,5,2,0,1,2,1,0,0,2,1,0,9
The Philippines,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,6
Tunisia,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,1,4
Turkey,1,7,8,7,5,9,7,5,3,0,0,0,2,1,0,1,16
U.K,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
UK,596,952,729,405,242,170,122,84,74,62,32,23,25,23,13,12,77
UK [],0,5,4,1,2,1,0,0,0,0,0,0,2,0,0,0,0
US,1,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
USA,6241,3373,1550,694,384,218,141,103,77,69,33,22,28,22,12,11,79
Uganda,0,3,2,3,3,1,0,2,2,0,2,0,0,0,0,0,6
Ukraine,0,4,6,1,3,1,0,3,2,2,1,0,0,1,0,0,11
United Arab Emirates,2,11,7,3,3,3,0,0,6,0,2,0,2,4,1,2,7
Venezuela,0,0,0,2,0,1,0,0,0,2,0,0,2,0,0,1,7
Vietnam,0,0,2,0,2,2,0,0,0,2,0,0,0,1,1,0,8
and part of the Study Reporting in Predatory Journals Group,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the Netherlands,107,234,191,125,77,73,40,47,28,34,22,13,13,15,9,9,57
